X	E0	E1	E2	E3	E4	E5	E6
2.6	0.0027841765072065	-0.00542914418905268	0.00190020046616844	0.0181672737426176	0.0494287101350727	0.106401324703718	0.208937137788012
2.64	0.00263447696993789	-0.00521626440047702	0.00190393650617412	0.0177725952520853	0.0482652214253599	0.103711736975958	0.203139878529812
2.68	0.00249339887950475	-0.00501173174780455	0.00190445806416573	0.0173824398074979	0.0471203852128987	0.101070021549222	0.19745450881691
2.72	0.00236040143880148	-0.00481521893515502	0.00190201147938624	0.016997000558257	0.0459943615415032	0.0984763075483453	0.191881077092591
2.76	0.00223498140101606	-0.00462641150010324	0.00189682871504233	0.0166164508643458	0.0448872770112572	0.0959306585383651	0.186419492396106
2.8	0.00211667014784383	-0.00444500731047205	0.00188912810695062	0.0162409454606373	0.0437992267999325	0.0934330764590467	0.181069532666276
2.84	0.00200503102387625	-0.00427071608085642	0.00187911507557683	0.0158706215638746	0.0427302765931914	0.090983505401637	0.175830852745431
2.88	0.00189965690190039	-0.00410325890810485	0.00186698280318771	0.015505599924892	0.0416804644269185	0.0885818352318429	0.170702992087894
2.92	0.00180016795662778	-0.00394236782501483	0.00185291287775697	0.0151459858285332	0.0406498024449378	0.0862279050630669	0.165685382177635
2.96	0.00170620962681449	-0.00378778537152816	0.00183707590519116	0.0147918700436232	0.039638278575275	0.0839215065839529	0.160777353660103
3	0.00161745074788441	-0.00363926418273992	0.00181963209136996	0.0144433297252491	0.0386458581280409	0.0816623872442982	0.155978143193525
3.04	0.0015335818390622	-0.00349656659306182	0.00180073179542684	0.0141004292715108	0.0376724853179172	0.0794502533033894	0.151286900025287
3.08	0.0014543135306955	-0.00335946425590662	0.00178051605563051	0.013763221136811	0.0367180847141429	0.0772847727448026	0.146702692299203
3.12	0.00137937511892513	-0.0032277377782848	0.00175911708916522	0.0134317466036654	0.035782562620808	0.0751655780616874	0.142224513099708
3.16	0.00130851323617258	-0.00310117636972902	0.00173665876704825	0.0131060365149303	0.0348658083901808	0.0730922689165247	0.137851286239152
3.2	0.00124149062707682	-0.00297957750498438	0.00171325706536602	0.0127861119682642	0.0339676956717056	0.0710644146793069	0.133581871794525
3.24	0.00117808502054519	-0.00286274659992482	0.00168902049395565	0.0124719849745625	0.0330880835992304	0.0690815568480516	0.129415071400032
3.28	0.00111808808950284	-0.00275049670017699	0.00166405050360708	0.0121636590820277	0.0322268179189384	0.0671432113555011	0.125349633302008
3.32	0.00106130449074432	-0.00264264818195336	0.00163844187281109	0.0118611299674704	0.0313837320603805	0.0652488707658137	0.121384257182751
3.36	0.00100755097802217	-0.00253902846461588	0.00161228307503108	0.0115643859963627	0.0305586481529272	0.0633980063649859	0.117517598759826
3.4	0.000956655582160813	-0.00243947173451007	0.00158565662743155	0.0112734087531047	0.0297513779898805	0.0615900701486867	0.113748274167466
3.44	0.000908456852568945	-0.00234381867962788	0.00155863942195254	0.0109881735428974	0.0289617239424144	0.0598244967111139	0.110074864126625
3.48	0.000862803155047665	-0.00225191623467441	0.0015313030395786	0.010708649866559	0.028189479825437	0.0581007050384151	0.106495917910277
3.52	0.00081955202126168	-0.00216361733613084	0.00150371404861093	0.0104348018695586	0.0274344317173972	0.056418100210142	0.103009957110457
3.56	0.000778569545663441	-0.00207878068692139	0.00147593428771419	0.0101665887664921	0.0266963587359892	0.0547760750121338	0.0996154792135364
3.6	0.000739729826039956	-0.00199727053030788	0.00144802113447322	0.00990396524216422	0.0259750337716387	0.0531740114641465	0.0963109609901218
3.64	0.000702914444194129	-0.00191895643264997	0.00142002776016098	0.00964688183039632	0.0252702241805913	0.0516112822654706	0.0930948617059189
3.68	0.000668011983580982	-0.00184371307468351	0.00139200337138605	0.00939528527162598	0.024581692439356	0.0500872521616973	0.0899656261598004
3.72	0.000634917580997482	-0.00177142005098298	0.00136399343925689	0.00914911885031943	0.0239091967621945	0.0486012792357177	0.0869216875552315
3.76	0.000603532509676281	-0.00170196167728711	0.00133603991667039	0.00890832271317235	0.0232524916832886	0.0471527161259564	0.0839614702111007
3.8	0.000573763791361204	-0.00163522680537943	0.00130818144430355	0.00867283416903117	0.0226113286051536	0.0457409111747613	0.0810833921179006
