T	X1	X12	X14	X16	X18	X2
6.89999999999999	13.03501424	11.79617332	10.48699475	9.157144742	7.849739262	6.599829209
6.99999999999999	13.2705989	12.01109604	10.67971528	9.327003264	7.996842553	6.724907574
7.09999999999999	13.24076359	11.98571643	10.6587674	9.310299888	7.984059231	6.715612063
7.19999999999999	12.9284623	11.70457196	10.41037305	9.094975772	7.801027019	6.563207752
7.29999999999999	12.3209035	11.15605124	9.924177725	8.671960589	7.439944132	6.26111096
7.39999999999999	11.40992405	10.33273301	9.193552346	8.035436523	6.895795933	5.805080124
7.49999999999999	10.19230279	9.231670479	8.215846534	7.183059824	6.166545225	5.193376111
7.59999999999999	8.670008748	7.85461653	6.99258927	6.116136458	5.253283205	4.426889484
7.69999999999999	6.850379957	6.208186017	5.529633677	4.839748955	4.160338593	3.509232618
7.79999999999999	4.746229526	4.303952286	3.837243267	3.362832146	2.895342957	2.446794989
7.89999999999999	2.37587663	2.158475634	1.930117682	1.69819606	1.469250738	1.248760391
7.99999999999999	-0.236899222	-0.20673767	-0.172643337	-0.137505137	-0.103686969	-0.072914733
8.09999999999999	-3.062981312	-2.765346464	-2.447638322	-2.123858643	-1.805995331	-1.503562212
8.19999999999999	-6.068116047	-5.486355707	-4.867324666	-4.236832874	-3.617095273	-3.02590225
8.29999999999999	-9.213189482	-8.3343665	-7.400240588	-6.448970943	-5.513468976	-4.620182208
8.39999999999999	-12.45457816	-11.26989341	-10.01128699	-8.729636454	-7.468870233	-6.26435312
8.49999999999999	-15.74457152	-14.24974667	-12.66206704	-11.04530973	-9.454578064	-7.934282589
8.59999999999999	-19.0318625	-17.22747608	-15.31128061	-13.35993201	-11.43969148	-9.604002316
8.69999999999999	-22.26210186	-20.15387275	-17.91517026	-15.63529466	-13.39146287	-11.2459881
8.79999999999998	-25.37851151	-22.97752423	-20.42801469	-17.83146987	-15.27566695	-12.83146983
8.89999999999998	-28.32255102	-25.64541784	-22.80266512	-19.90727893	-17.05700203	-14.33076857
8.99999999999998	-31.03463111	-28.10358665	-24.99111963	-21.8207936	-18.69951963	-15.71365764
9.09999999999998	-33.45486729	-30.29779179	-26.94512981	-23.5298659	-20.16707855	-16.94974418
9.19999999999998	-35.52386628	-32.17423453	-28.61683408	-24.99268104	-21.42381872	-18.00886749
9.29999999999998	-37.1835375	-33.68029109	-29.95941106	-26.1683281	-22.43465048	-18.8615103
9.39999999999998	-38.3779214	-34.76526276	-30.9277468	-27.01738271	-23.16575402	-19.47921864
9.49999999999998	-39.05402619	-35.38113368	-31.47910874	-27.50249574	-23.58508415	-19.8350263
9.59999999999998	-39.16266429	-35.48332839	-31.57381961	-27.58898195	-23.66287497	-19.90387918
9.69999999999998	-38.65927958	-35.03146114	-31.17592396	-27.24540231	-23.37213929	-19.66305528
9.79999999999998	-37.5047565	-33.99006879	-30.25384021	-26.44413365	-22.68915713	-19.0925756
9.89999999999998	-35.66620207	-32.32931925	-28.78099097	-25.16191941	-21.59394809	-18.17560148
9.99999999999998	-33.11769178	-30.02568721	-26.73640438	-23.38039515	-20.07072218	-16.89881388
